Truth,Decoded
bin blue with t zero please,a blue i e now
set white in u four now,a blue i e again
lay green in l seven again,a blue i e now
set blue with h seven soon,a blue i e now
lay blue with e six please,a blue i e again
set white at u nine soon,a blue i e now
set white at b eight please,a blue i e again
lay blue by k four now,a blue i e now
lay blue by y two now,a blue i e now
lay blue at q four now,a blue i e again
lay white by s three again,a blue i e again
bin blue by f seven soon,a blue i e again
set blue with b five again,a blue i e now
place white in j three soon,a blue i e now
lay blue in d two now,a blue i e again
lay green in r nine soon,a blue i e now
lay red in q nine again,a blue i e again
bin blue by z nine soon,a blue i e again
set blue with h six now,a blue i e now
place red at j two please,a blue i e now
set blue at a six please,a blue i e again
place white by y zero please,a blue i e again
bin white with n nine again,a blue i e now
place blue in v zero please,a blue i e now
bin green by b one soon,a blue i e again
lay white with s five soon,a blue i e again
set green with d two please,a blue i e again
place green by e two now,a blue i e again
bin blue with s nine soon,a blue i e again
bin white at a three again,a blue i e again
place green in d four now,a blue i e now
lay green with g five again,a blue i e again
lay blue at k two please,a blue i i again
set white by i seven again,a blue i e again
set blue in n zero please,a blue i e now
bin red in m one again,a blue i e again
lay red with l six please,a blue i e again
bin green in g seven soon,a blue i e now
bin white with h five again,a blue i e now
lay green with m eight please,a blue i e now
bin blue in z two please,a blue i e again
place red with j nine soon,a blue i e now
lay red in k three soon,a blue i e now
lay white by s zero now,a blue i e again
set blue by n eight please,a blue i e again
bin green in a three soon,a blue i e now
bin red at f eight now,a blue i e now
lay blue by r one again,a blue i e now
set red with c one again,a blue i e again
set blue at a seven again,a blue i e again
