Truth,Decoded
lay red with f zero now,place blue with t i again
lay white in y eight please,lay white i y in please
set red at u three soon,set red i t o soon
set white by i five soon,set white by f i soon
set red at n eight now,set red at e i again
lay green with t zero now,bin red with u two soon
place blue in i three again,place blue at p in please
place red by d three again,place red by s bin please
lay red by y eight now,set r i b nine now
place white at x seven again,place white at z bin please
bin white in t one again,bin white i h in please
place red in p three again,place white with p bin again
place white by k zero now,place r by p six soon
bin white at t two now,bin white at z bin again
place red in i seven soon,place white at z i soon
bin white in m six please,bin white by p five please
bin red at g one again,place r at p i please
place green with l one soon,place red i m five soon
bin green with u nine again,bin r with u five please
set blue in g seven again,set blue i s i please
bin green in t seven again,bin h i s i please
lay blue in x seven again,set blue i t bin please
lay blue by k five soon,set blue by b i now
place blue in o four now,place blue i u five please
lay green by f eight now,set blue with s i please
lay green by f nine soon,set red at f e soon
place white by d six now,place white by p six now
set red at b one soon,place e at f four soon
lay blue with l one again,set blue with b i please
lay green in s one again,set r i s i please
bin red in f four now,place r by p i now
place red in p zero now,place red i p i again
set white with p five again,set e at p five please
set green by v eight now,set blue i s i now
lay blue at d seven soon,set blue i u two soon
lay blue at q seven again,set blue i u bin please
lay green at f six please,set r with v bin please
lay blue at k one soon,bin r by p four soon
set green at c five again,set red at f five please
lay red at y four now,bin red i p nine again
lay blue by e one soon,lay blue at b one soon
bin red by m nine again,bin red by y i please
bin blue at f three soon,set blue with u e soon
bin blue in r nine again,bin blue i s i please
place red by x five again,place r by p bin please
set white by c two please,set white by f e please
set green by x zero please,set green t p i again
bin green with u eight please,place r with u i please
lay white at f one again,set white i f in please
bin blue at s one soon,bin blue at f e soon
